job,number,place,pub_time,title
市场类,1,北京,2019-04-28,19838-影视公共事务经理
产品/项目类,1,上海,2019-04-28,32032-高级关卡策划（上海）
技术类,1,深圳,2019-04-28,22989-交付质量管理工程师（深圳）
职能类,1,深圳,2019-04-28,30616-投资者关系
市场类,1,北京,2019-04-28,19838-影视立项统筹
技术类,1,成都,2019-04-28,PCG10-浏览器功能应用Android开发工程师
产品/项目类,2,深圳,2019-04-28,28481-腾讯健康高级产品经理（深圳）
设计类,1,广州,2019-04-28,WXG01-微信高级交互设计师（广州）
产品/项目类,1,深圳,2019-04-28,22989-物联网行业产品策划经理
产品/项目类,1,深圳,2019-04-28,21090-游戏运营（深圳）
产品/项目类,1,深圳,2019-04-28,21090-游戏评测
产品/项目类,2,深圳,2019-04-28,28481-腾讯互联网医院高级产品经理（深圳）
产品/项目类,1,上海,2019-04-28,15614-RPG游戏运营经理
产品/项目类,2,深圳,2019-04-28,22989-分布式数据库产品经理（北京/深圳/成都）
产品/项目类,1,深圳,2019-04-28,21090-高级游戏策划（深圳）
产品/项目类,1,深圳,2019-04-28,21090-网站运营
产品/项目类,1,深圳,2019-04-28,27553-腾讯音乐人产品策划（深圳）
产品/项目类,1,深圳,2019-04-28,25924-高级项目经理
职能类,1,深圳,2019-04-28,PCG20-企业文化高级经理（北京/深圳）
设计类,2,深圳,2019-04-28,15583-3D场景地图关卡编辑（深圳）
设计类,1,深圳,2019-04-28,15583-手游2D场景设计师（深圳）
产品/项目类,1,深圳,2019-04-28,TME-音乐人产品策划
职能类,1,深圳,2019-04-28,PCG20-企业文化高级经理（北京/深圳）
技术类,1,深圳,2019-04-28,GY0-【国际业务部】测试工程师（深圳）
产品/项目类,2,深圳,2019-04-28,15583-手游单局战斗策划（深圳）
产品/项目类,2,深圳,2019-04-28,15583-日语项目协调管理（深圳）
技术类,1,北京,2019-04-28,CSIG16-自动驾驶点云感知算法工程师（北京）
技术类,1,北京,2019-04-28,CSIG15-语音识别算法研究员
技术类,1,北京,2019-04-28,CSIG16-底图渲染引擎开发工程师
职能类,1,深圳,2019-04-28,AQ-安全评估经理（深圳总部）
产品/项目类,3,深圳,2019-04-28,22989-专有云网络高级产品经理（深圳）
技术类,2,深圳,2019-04-28,31504-高级运营开发工程师
产品/项目类,1,深圳,2019-04-28,PCG10-数据分析产品经理
产品/项目类,1,上海,2019-04-28,30628-30628-腾讯社交广告数据应用产品经理（深圳/上海）
职能类,1,广州,2019-04-28,AQ-安全评估经理（广州）
产品/项目类,1,深圳,2019-04-28,28297-国漫/二次元项目高级运营经理（深圳）
技术类,1,深圳,2019-04-28,TEG06-安全渗透高级工程师（深圳）
技术类,1,深圳,2019-04-28,TEG06-容器平台高级开发工程师（深圳）
职能类,2,深圳,2019-04-28,S2-IT审计经理（深圳）
技术类,1,深圳,2019-04-28,21557-音视频后台开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,21309-深圳市腾讯教育科技有限公司SEM专员(深圳）
技术类,1,深圳,2019-04-28,TEG06-云原生架构师（深圳）
产品/项目类,1,深圳,2019-04-28,28481-医疗健康行业运营经理（深圳）
市场类,1,北京,2019-04-28,30627-腾讯广告渠道管理经理
市场类,1,深圳,2019-04-28,27087-高级创意经理-美术方向（深圳）
产品/项目类,4,深圳,2019-04-28,21309-深圳市腾讯教育科技有限公司高中生物、历史、地理、政治学科老师（深圳）
产品/项目类,1,深圳,2019-04-28,21309-深圳市腾讯教育科技有限公司排版设计师（深圳）
产品/项目类,2,深圳,2019-04-28,18796-腾讯即玩云游戏高级产品经理（深圳）
技术类,1,深圳,2019-04-28,28481-医疗健康高级后台开发工程师（深圳）
设计类,1,深圳,2019-04-28,23486-高级交互设计师（深圳）
技术类,1,深圳,2019-04-28,PCG09-信息流NLP高级研究员
设计类,1,深圳,2019-04-28,EC-教育创想空间策展经理
产品/项目类,1,深圳,2019-04-28,22989-存储产品策划经理
技术类,1,深圳,2019-04-28,TEG09-云架构平台运营开发工程师（深圳）
技术类,1,北京,2019-04-28,CSIG16-车联网架构师（北京）
产品/项目类,1,深圳,2019-04-28,PCG09-浏览器信息流用户增长产品经理（深圳）
市场类,1,深圳,2019-04-28,ZL-商业分析经理（TEG）
技术类,1,深圳,2019-04-28,26564-PHP后台开发工程师（深圳）
技术类,1,成都,2019-04-28,15575-高级引擎开发工程师（成都）
技术类,2,深圳,2019-04-28,TME-全民K歌PC客户端开发
技术类,1,深圳,2019-04-28,29912-数据分析-增长
市场类,1,深圳,2019-04-28,ZL-Investment & Business Analysis Manager
技术类,2,深圳,2019-04-28,TEG02-边缘计算平台后台开发工程师
市场类,1,上海,2019-04-28,30626-腾讯广告渠道管理专员（上海）
技术类,1,深圳,2019-04-28,29912-短视频社区高级后台开发工程师
内容编辑类,1,北京,2019-04-28,16810-腾讯动漫同人运营 
设计类,1,北京,2019-04-28,16810-腾讯动漫原画设计
技术类,3,深圳,2019-04-28,22989-JVM技术专家（深圳、北京、成都）
技术类,1,深圳,2019-04-28,22989-工业AI平台-产品架构师（深圳总部）
产品/项目类,1,深圳,2019-04-28,22989-工业AI平台-产品经理（深圳总部）
技术类,1,北京,2019-04-28,29777-腾讯云广电行业方案架构师（北京/上海/深圳）（北京）
产品/项目类,1,深圳,2019-04-28,CSIG16-车联网项目经理（深圳）
技术类,1,上海,2019-04-28,22989-工业AI平台-产品架构师（上海）
产品/项目类,1,上海,2019-04-28,22989-工业AI平台-产品经理（上海）
技术类,1,深圳,2019-04-28,29777-腾讯云广电行业方案架构师（北京/上海/深圳）（深圳总部）
技术类,1,上海,2019-04-28,29777-腾讯云广电行业方案架构师（北京/上海/深圳）（上海）
产品/项目类,1,深圳,2019-04-28,22989-AI大数据项目经理
技术类,1,深圳,2019-04-28,TEG11-自然语言处理研究员（深圳）
技术类,1,深圳,2019-04-28,TME-QQ音乐平台Web前端工程师（深圳）
技术类,2,深圳,2019-04-28,PCG09-安卓客户端开发
技术类,1,广州,2019-04-28,WXG02-154 微信游戏系统测试工程师（深圳）
设计类,1,上海,2019-04-28,15616-高级3D场景美术师（上海）
技术类,1,北京,2019-04-28,TEG11-推荐系统算法研发工程师（北京）
技术类,1,深圳,2019-04-28,26563-PC客户端开发工程师(深圳）
技术类,1,深圳,2019-04-28,18425-金融人工智能高级研究员
技术类,1,深圳,2019-04-28,PCG17-QQ支付数据开发工程师(深圳）
产品/项目类,1,深圳,2019-04-28,PCG16-ACG社区UGC运营leader
技术类,1,深圳,2019-04-28,PCG16-游戏内容Android开发工程师（深圳）
设计类,1,深圳,2019-04-28,15602-高级游戏2D角色原画（深圳）
技术类,1,深圳,2019-04-28,TEG05-Linux后台开发工程师（深圳）
产品/项目类,2,深圳,2019-04-28,PCG16-精品游戏平台运营
市场类,1,深圳,2019-04-28,27087-高级创意经理-策划方向
设计类,1,深圳,2019-04-28,15602-动画分镜设计（深圳）
设计类,1,深圳,2019-04-28,15602-2D角色和场景设计（深圳）
技术类,1,北京,2019-04-28,CSIG17-高级测试工程师
产品/项目类,2,深圳,2019-04-28,PCG16-游戏类信息流社区运营
技术类,4,深圳,2019-04-28,PCG16-信息流后台开发工程师（深圳）
产品/项目类,1,上海,2019-04-28,15614-slg主策划（上海）
技术类,1,上海,2019-04-28,15616-高级UE4引擎图形开发工程师（上海）
技术类,1,深圳,2019-04-28,20354-腾讯云网络安全研究员
技术类,1,上海,2019-04-28,31504-腾讯云大客户售后高级技术顾问（深圳/北京/上海/成都）（上海）
产品/项目类,1,深圳,2019-04-28,PCG17-厘米秀高级产品运营经理（深圳）
技术类,1,上海,2019-04-28,15616-UE4手游客户端开发工程师（上海）
产品/项目类,1,深圳,2019-04-28,31458-信用卡高级产品经理
产品/项目类,2,深圳,2019-04-28,TEG04-高校合作项目经理（深圳）
职能类,1,深圳,2019-04-28,WH-员工关系经理（劳动关系方向）（深圳）
技术类,1,北京,2019-04-28,21557-视频编解码专家（北京/深圳/美国）
产品/项目类,2,深圳,2019-04-28,PCG09-高级产品经理(商业化产品)
产品/项目类,1,深圳,2019-04-28,PCG09-内容平台高级产品经理
设计类,1,深圳,2019-04-28,32032-高级游戏美术特效(深圳）
产品/项目类,1,深圳,2019-04-28,32032-游戏音频设计师（深圳）
产品/项目类,1,深圳,2019-04-28,PCG09-内容安全和质量产品经理
产品/项目类,1,深圳,2019-04-28,PCG09-信息流内容策略产品经理
职能类,1,上海,2019-04-28,HGJ-senior legal counsel(MA)
技术类,1,深圳,2019-04-28,32032-游戏客户端开发高级工程师（深圳）
技术类,3,深圳,2019-04-28,15583-UE4引擎游戏客户端开发（深圳）
设计类,1,深圳,2019-04-28,15605-高级3D动画设计师(深圳)
技术类,3,深圳,2019-04-28,TEG04-腾讯乐享Web前端开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,PCG17-游戏数据分析师
产品/项目类,1,深圳,2019-04-28,31967-企鹅电竞平台运营经理
职能类,1,深圳,2019-04-28,RP-HR交付管控专家(深圳)
产品/项目类,1,深圳,2019-04-28,29923-腾讯原创馆产品经理
产品/项目类,2,深圳,2019-04-28,TEG04-腾讯微校售前项目经理（深圳）
产品/项目类,1,上海,2019-04-28,31967-企鹅电竞商业化运营经理（策划运营向）
产品/项目类,1,深圳,2019-04-28,28297-二次元赛道内外部平台合作（深圳）
产品/项目类,1,北京,2019-04-28,22090-信息流平台科技垂类内容运营
技术类,1,深圳,2019-04-28,S2-高级Java开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,31967-直播平台运营经理（赛事方向）（深圳总部）
技术类,1,深圳,2019-04-28,GY0-【国际业务部】JOOX海外音乐后台开发(深圳)
产品/项目类,1,深圳,2019-04-28,27730-短视频平台产品经理（深圳）
职能类,1,深圳,2019-04-28,S2-CSIG税务管理经理(深圳)
产品/项目类,1,上海,2019-04-28,31967-直播平台运营经理（渠道运营方向）（上海）
产品/项目类,1,上海,2019-04-28,31967-直播平台运营经理（商业化方向）
技术类,2,深圳,2019-04-28,25926-机器学习算法高级工程师
产品/项目类,1,北京,2019-04-28,CSIG16-行业解决方案架构师
技术类,1,深圳,2019-04-28,25927-游戏测试经理
技术类,1,深圳,2019-04-28,25927-游戏测试经理
设计类,2,深圳,2019-04-28,28937-高级游戏技术美术（深圳）
职能类,1,深圳,2019-04-28,FC-综合类采购商务主管
设计类,1,深圳,2019-04-28,29911-视觉设计师
职能类,1,深圳,2019-04-28,16810-腾讯动漫业务管理经理
设计类,1,深圳,2019-04-28,32032-3D角色设计(深圳)
产品/项目类,2,深圳,2019-04-28,22989-腾讯云生态产品运营经理 （深圳/北京/上海）
技术类,1,北京,2019-04-28,CSIG15-翻译君机器学习高级工程师（北京）
产品/项目类,1,深圳,2019-04-28,PCG10-用户增长产品经理
产品/项目类,1,深圳,2019-04-28,31458-通讯充值产品运营经理
技术类,2,深圳,2019-04-28,22989-腾讯云高级运维工程师
产品/项目类,1,深圳,2019-04-28,22989-腾讯云存储产品经理
产品/项目类,2,深圳,2019-04-28,PCG16-信息流高级数据分析-（游戏垂类）
职能类,1,深圳,2019-04-28,S2-高级结算分析经理
市场类,2,成都,2019-04-28,25666-腾讯云西南区域销售（成都）
技术类,1,北京,2019-04-28,22989-运营开发高级工程师
职能类,1,北京,2019-04-28,6486-IEG秘书（北京）
技术类,1,北京,2019-04-28,31112-腾讯视频web前端开发工程师(北京)
产品/项目类,1,深圳,2019-04-28,21309-腾讯课堂-广告流量运营高级经理
产品/项目类,1,深圳,2019-04-28,TME-QQ音乐直播产品策划
技术类,3,深圳,2019-04-28,TME-QQ音乐社交Android开发工程师（深圳）
产品/项目类,1,北京,2019-04-28,22850-腾讯视频会员业务数据运营（北京）
设计类,1,广州,2019-04-28,25664-高级视觉设计师
技术类,1,深圳,2019-04-28,PCG19-腾讯视频后台开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,27092-应用宝商业化中台高级产品经理（深圳）
产品/项目类,1,深圳,2019-04-28,15579-互娱项目管理经理(深圳)
设计类,1,广州,2019-04-28,25664-高级交互设计师
技术类,1,深圳,2019-04-28,PCG04-腾讯视频Web质量测试工程师（深圳）
技术类,2,深圳,2019-04-28,PCG19-腾讯视频媒资后台开发工程师（深圳）
技术类,1,深圳,2019-04-28,PCG14-应用宝Android终端开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,CSIG02-腾讯云项目交付专家/顾问（深圳）
职能类,1,北京,2019-04-28,29313-影业财管经理（北京）
产品/项目类,1,深圳,2019-04-28,30620-腾讯广告微信广告游戏行业运营经理（深圳）
设计类,1,深圳,2019-04-28,29303-高级视觉设计师（深圳）
产品/项目类,1,深圳,2019-04-28,30361-社交产品经理-创新向
职能类,2,北京,2019-04-28,29313-PCG财务高级经理（北京）
市场类,1,北京,2019-04-28,26699-智慧零售大客户销售经理（北京）
市场类,1,上海,2019-04-28,24546-商业分析师（上海）
技术类,1,深圳,2019-04-28,TEG09-云数据库平台研发工程师
产品/项目类,1,深圳,2019-04-28,30361-社交产品经理-付费向
技术类,2,上海,2019-04-28,26699-智慧零售后台研发工程师（上海）
技术类,2,深圳,2019-04-28,22989-腾讯云大数据开发工程师
职能类,1,深圳,2019-04-28,21527-腾讯音乐高级预算管理经理
产品/项目类,1,深圳,2019-04-28,23671-腾讯双百计划投后运营经理（深圳）
技术类,1,深圳,2019-04-28,18796-数据分析师（深圳）
市场类,1,深圳,2019-04-28,26699-智慧零售大客户销售经理（深圳总部）
技术类,1,深圳,2019-04-28,22989-腾讯云数据平台产品中心后台开发
职能类,1,深圳,2019-04-28,21527-腾讯音乐财务管理
产品/项目类,1,上海,2019-04-28,21229-代理游戏版本运营
产品/项目类,1,北京,2019-04-28,24547-游戏联运产品经理
技术类,1,北京,2019-04-28,22090-兴趣阅读-推荐架构工程师
市场类,1,上海,2019-04-28,25666-互联网KA销售
产品/项目类,2,北京,2019-04-28,29777-腾讯云区块链高级产品经理（北京）
产品/项目类,2,深圳,2019-04-28,29777-互联网金融行业产品经理
技术类,4,深圳,2019-04-28,29777-金融云保险行业售前架构师（深圳/北京/上海）
市场类,1,上海,2019-04-28,25666-华东区域销售（政务方向）
产品/项目类,2,北京,2019-04-28,29777-金融云交付项目经理
技术类,2,深圳,2019-04-28,29777-金融云区块链高级研发工程师（深圳）
技术类,1,深圳,2019-04-28,31504-腾讯云大客户售后团队Leader/技术专家(上海/成都/深圳/北京)（深圳总部）
技术类,4,深圳,2019-04-28,29777-金融云互联网金融售前架构师（深圳/北京/上海）
技术类,2,深圳,2019-04-28,29777-金融售中架构师（大数据方向）（深圳/北京/上海）
技术类,1,北京,2019-04-28,CSIG16-自动驾驶仿真模拟系统-交通流系统工程师
设计类,1,深圳,2019-04-28,15570-RTS+SLG游戏资深3D美术（深圳）
产品/项目类,1,北京,2019-04-28,23671-企鹅号策略产品经理（分成方向）
市场类,1,深圳,2019-04-28,27087-市场营销
技术类,2,深圳,2019-04-28,29777-金融售中架构师（专有云方向）（深圳/北京/上海）
职能类,1,深圳,2019-04-28,S2-税务风险管理和筹划高级经理（深圳）
产品/项目类,1,北京,2019-04-28,PCG09-信息流产品数据分析
技术类,2,深圳,2019-04-28,PCG14-自然语言处理高级算法工程师（深圳）
产品/项目类,1,北京,2019-04-28,23671-企鹅号策略产品经理（非原创方向）
产品/项目类,1,深圳,2019-04-28,21087-端游游戏运营策划(深圳）
职能类,1,深圳,2019-04-28,21527-腾讯音乐企业IT信息化项目经理（深圳）
职能类,1,深圳,2019-04-28,EC-培训咨询顾问（深圳）
产品/项目类,1,深圳,2019-04-28,30934-Game Localization Manager (English)
市场类,1,深圳,2019-04-28,27192-互娱市场与用户研究经理
设计类,1,深圳,2019-04-28,31677-SMAD - 多模态体验设计组 — CUI文案设计师（深圳）
产品/项目类,1,上海,2019-04-28,15614-天刀游戏合作/活动运营
产品/项目类,1,深圳,2019-04-28,30934-Game Localization Manager (Japanese)    
技术类,2,深圳,2019-04-28,25664-政务大数据交付架构师
设计类,1,深圳,2019-04-28,31677-SMAD - 多模态体验设计组 — CUI音效设计师(深圳）
产品/项目类,2,深圳,2019-04-28,23517-开放世界MMO产品数据分析师
产品/项目类,1,深圳,2019-04-28,23517-开放世界MMO产品平台运营
客户服务类,1,深圳,2019-04-28,30934-游戏海外客服管理
产品/项目类,1,深圳,2019-04-28,15579-互娱项目管理经理(深圳)
产品/项目类,1,深圳,2019-04-28,27562-SOC赛道手游数据分析师
产品/项目类,1,深圳,2019-04-28,23517-卡牌产品运营策划
产品/项目类,1,深圳,2019-04-28,23517-开放世界MMO产品市场运营
技术类,2,上海,2019-04-28,25663-泛互联网解决方案架构师（北京/上海/深圳）（上海）
产品/项目类,1,深圳,2019-04-28,27562-SOC赛道手游运营策划（深圳）
产品/项目类,1,深圳,2019-04-28,27562-SOC赛道手游手游运营推广
产品/项目类,1,深圳,2019-04-28,PCG10-商业化产品运营经理-搜索广告方向
产品/项目类,1,深圳,2019-04-28,PCG10-搜索产品经理
技术类,1,北京,2019-04-28,PCG04-后台开发工程师（北京）
技术类,1,广州,2019-04-28,WXG10-115 企业微信web前端开发工程师（广州）
设计类,1,深圳,2019-04-28,29911-创意玩法设计师
技术类,2,深圳,2019-04-28,PCG10-搜索Web前端开发工程师
技术类,1,上海,2019-04-28,PCG04-后台开发工程师（上海）
技术类,1,深圳,2019-04-28,30359-灯塔ios客户端开发高级工程师
产品/项目类,1,深圳,2019-04-28,27931-移动游戏平台渠道高级运营（深圳）
产品/项目类,1,深圳,2019-04-28,PCG10-用户增长渠道leader
产品/项目类,1,深圳,2019-04-28,PCG10-商业化产品运营经理-平台策略方向
技术类,2,深圳,2019-04-28,22989-腾讯云块存储高级后台开发工程师
技术类,3,深圳,2019-04-28,PCG09-QQ看点安卓开发工程师
设计类,2,深圳,2019-04-28,15571-手游-高级技术美术（深圳）
设计类,1,深圳,2019-04-28,15571-3D特效设计师（深圳）
设计类,1,深圳,2019-04-28,15571-2D原画设计师（深圳）
技术类,3,深圳,2019-04-28,PCG09-QQ看点IOS开发工程师
产品/项目类,1,深圳,2019-04-28,30360-QQ小程序产品经理（深圳）
设计类,1,深圳,2019-04-28,15571-CF手游资深动作设计师（深圳）
设计类,2,深圳,2019-04-28,15571-多媒体设计师（深圳）
设计类,1,深圳,2019-04-28,15571-3D场景专家（深圳）
技术类,1,深圳,2019-04-28,TME-腾讯音乐数据挖掘/分析高级工程师（深圳）
技术类,1,上海,2019-04-28,20503-优图智慧零售测试工程师
产品/项目类,1,深圳,2019-04-28,21309-企鹅辅导流量运营负责人（用户增长方向）
技术类,2,广州,2019-04-28,WXG03-小程序搜索算法高级研究员
产品/项目类,2,深圳,2019-04-28,15605-市场运营(深圳）
设计类,1,北京,2019-04-28,31677-腾讯车联高级多媒体设计师 （北京）
技术类,3,深圳,2019-04-28,15571-Unity客户端开发工程师（深圳）
市场类,1,广州,2019-04-28,CSIG16-车联网商务经理（广州）
技术类,1,深圳,2019-04-28,TME-腾讯音乐曲库后台开发
技术类,3,深圳,2019-04-28,TME-腾讯音乐运营开发
技术类,1,深圳,2019-04-28,CSIG17- 大数据后台开发专家工程师 
技术类,1,深圳,2019-04-28,21557-Web前端高级开发工程师（深圳）
技术类,2,成都,2019-04-28,22989-数据库前端高级工程师（成都/深圳）
产品/项目类,1,成都,2019-04-28,22989-数据库产品运营（北京/成都/深圳）
产品/项目类,1,深圳,2019-04-28,17229-刺激战场-海外项目经理（深圳）
技术类,1,深圳,2019-04-28,28600-微信支付商户管理平台web前端高级开发工程师（深圳）
技术类,1,深圳,2019-04-28,21557-Android研发高级工程师
产品/项目类,3,成都,2019-04-28,22989-数据库产品经理（北京/成都/深圳）
产品/项目类,1,上海,2019-04-28,29777-智慧企业交付项目经理（上海）
产品/项目类,1,深圳,2019-04-28,29777-智慧企业交付项目经理（深圳总部）
技术类,1,深圳,2019-04-28,31504-视频云直播高级业务运维工程师（深圳）
技术类,1,北京,2019-04-28,29777-腾讯云智能终端行业架构师（北京/深圳）（北京）
技术类,9,成都,2019-04-28,22989-数据库平台高级工程师（成都/深圳）
产品/项目类,1,深圳,2019-04-28,PCG17-厘米秀内容运营经理（深圳）
技术类,2,深圳,2019-04-28,17229-刺激战场-游戏服务器开发工程师
技术类,1,深圳,2019-04-28,29777-腾讯云智能终端行业架构师（北京/深圳）（深圳总部）
技术类,4,成都,2019-04-28,22989-数据库高级工程师（成都/北京/深圳/上海）
市场类,1,深圳,2019-04-28,PCG17-厘米秀商务合作经理（深圳）
产品/项目类,1,深圳,2019-04-28,28302-Start云游戏海外高级运营经理
,1,北京,2019-04-28,TB-投资运营分析师
产品/项目类,2,北京,2019-04-28,32271-腾讯视频用户增长数据产品经理
技术类,2,深圳,2019-04-28,18428-财付通基础交易开发工程师（深圳）
技术类,2,广州,2019-04-28,25664-web前端开发高级工程师
技术类,1,北京,2019-04-28,TME-全民K歌TV端H5研发工程师
技术类,2,上海,2019-04-28,25924-游戏内容平台高级运营开发工程师
技术类,2,深圳,2019-04-28,15585-移动游戏后台开发工程师(深圳)
技术类,2,深圳,2019-04-28,28481-医疗大数据高级开发工程师（深圳）
技术类,2,广州,2019-04-28,25664-数据挖掘高级工程师
产品/项目类,1,上海,2019-04-28,25927-先游产品运营组组长（上海）
技术类,1,深圳,2019-04-28,19511-Web前端开发（深圳）
设计类,1,深圳,2019-04-28,29303-视觉设计师
技术类,1,深圳,2019-04-28,TEG13-运营开发工程师（深圳）
技术类,1,上海,2019-04-28,22989-中间件高级交付工程师（上海）
技术类,5,深圳,2019-04-28,15585-Unreal Engine游戏客户端开发工程师（深圳）
技术类,1,深圳,2019-04-28,25925-Linux C++后台开发工程师（深圳）
技术类,2,广州,2019-04-28,25664-数据治理高级工程师
技术类,1,深圳,2019-04-28,TEG13-质量管理工程师
技术类,1,北京,2019-04-28,22989-中间件高级交付工程师（北京）
设计类,3,深圳,2019-04-28,15712-游戏高级交互设计师（深圳）
产品/项目类,1,北京,2019-04-28,27648-影视制作管理
技术类,1,北京,2019-04-28,32271-腾讯视频用户增长策略专家
技术类,1,深圳,2019-04-28,31967-WEB开发工作师(PHP/GO 深圳)
技术类,1,深圳,2019-04-28,30360-QQ智能后台开发高级工程师
技术类,1,深圳,2019-04-28,22989-高级网络运维工程师（深圳）
技术类,1,深圳,2019-04-28,GY0-【国际业务部】JOOX Andriod开发工程师（深圳）
市场类,1,深圳,2019-04-28,23872-协同商务经理
产品/项目类,1,深圳,2019-04-28,28297-RPG手游本地化策划
市场类,1,北京,2019-04-28,29925-腾讯视频会员整合营销项目经理
技术类,1,深圳,2019-04-28,CSIG15-叮当平台自然语言处理研究员（北京）
产品/项目类,1,深圳,2019-04-28,TME-全民K歌高级产品经理（用户增长）
设计类,1,深圳,2019-04-28,27193-互娱高级视觉设计师
市场类,3,深圳,2019-04-28,25666-投标策略高级经理（深圳）
技术类,1,北京,2019-04-28,PCG19-大数据开发工程师（北京）
设计类,1,深圳,2019-04-28,15687-互娱漫画主笔(深圳)
设计类,1,深圳,2019-04-28,15579-高级游戏技术美术（深圳）
市场类,1,上海,2019-04-28,30624-腾讯广告饮料行业广告销售经理（上海）
产品/项目类,2,深圳,2019-04-28,22989-CDN产品架构师
设计类,2,深圳,2019-04-28,17229-资深原画设计师（深圳）
技术类,1,深圳,2019-04-28,15851-游戏后台开发工程师（深圳）
职能类,1,深圳,2019-04-28,S2-IEG财务管理（深圳）
产品/项目类,2,深圳,2019-04-28,22989-产品定价师
市场类,1,深圳,2019-04-28,14914-品牌合作经理（深圳）
技术类,1,深圳,2019-04-28,绝地求生：刺激战场-FPS游戏客户端开发工程师（深圳）
设计类,1,上海,2019-04-28,15614-天刀UI视觉设计师(上海）
内容编辑类,1,北京,2019-04-28,23486-腾讯财讯原创编辑
技术类,2,深圳,2019-04-28,31458-信用卡业务研发工程师
技术类,3,深圳,2019-04-28,31504-服务产品中心研发leader（web或PHP方向）
产品/项目类,2,深圳,2019-04-28,17229-绝地求生：刺激战场-射击游戏系统策划（深圳）
设计类,1,深圳,2019-04-28,15605-资深UE4技术美术(深圳)
产品/项目类,1,北京,2019-04-28,32269-企鹅影视电视剧制片人（北京）
产品/项目类,1,深圳,2019-04-28,PCG09-信息流算法平台项目经理
设计类,1,北京,2019-04-28,14914-高级营销设计师
技术类,1,深圳,2019-04-28,17229-绝地求生：刺激战场-资深Unreal客户端开发工程师（深圳）
技术类,1,上海,2019-04-28,26699-智慧零售业务中心前端开发（上海）
产品/项目类,1,北京,2019-04-28,32269-企鹅影视IP版权商务经理
产品/项目类,1,北京,2019-04-28,PCG09-信息流项目管理
产品/项目类,1,深圳,2019-04-28,17229-绝地求生：刺激战场-大型游戏开发项目经理（深圳）
技术类,1,成都,2019-04-28,26699-智慧零售业务中心前端开发（成都）
产品/项目类,1,深圳,2019-04-28,26699-智慧零售业务中心项目经理（深圳总部）
技术类,1,深圳,2019-04-28,GY0-【国际业务部】JOOX Web开发工程师（深圳）
技术类,1,北京,2019-04-28,CSIG16-腾讯地图底图后台开发
产品/项目类,1,深圳,2019-04-28,18425-海外钱包商户产品经理
技术类,2,深圳,2019-04-28,26699-智慧零售业务中心前端开发（深圳总部）
技术类,1,北京,2019-04-28,WXG08-111 微信搜索推荐高级数据分析工程师（北京）
产品/项目类,1,深圳,2019-04-28,TME-QQ音乐社交平台产品策划
技术类,2,深圳,2019-04-28,TEG02-Web前端开发工程师
产品/项目类,1,深圳,2019-04-28,26699-智慧零售高级产品策划
市场类,2,北京,2019-04-28,25666-腾讯云华北区域销售(北京、雄安、天津、山西、河北）
产品/项目类,1,上海,2019-04-28,30623-腾讯广告联盟广告高级产品经理-SSP方向（上海）
设计类,1,深圳,2019-04-28,30633-腾讯广告前端UI工程师（深圳）
技术类,1,深圳,2019-04-28,21527-腾讯音乐PeopleSoft开发工程师(深圳)
,1,深圳,2019-04-28,29314-CSIG财务管理总监（深圳）
技术类,1,北京,2019-04-28,TEG11-自然语言处理研究员(北京)
技术类,2,深圳,2019-04-28,TEG14-高级业务运维工程师（深圳）
设计类,2,深圳,2019-04-28,29910-营销创意策划
产品/项目类,1,深圳,2019-04-28,30934-海外游戏产品策划高级经理 
技术类,1,成都,2019-04-28,25923-游戏高级技术运营工程师
技术类,1,深圳,2019-04-28,PCG17-QQ厘米秀引擎开发高级工程师（深圳）
职能类,1,深圳,2019-04-28,21529-QQ音乐法务（深圳）
职能类,2,北京,2019-04-28,21529-政府事务专家
技术类,2,深圳,2019-04-28,30359-增长工具高级数据分析师
市场类,1,深圳,2019-04-28,25668-腾讯云高级产业市场经理（政务市场，教育市场方向）
技术类,1,深圳,2019-04-28,28600-微信支付高级服务运营经理（深圳）
产品/项目类,1,深圳,2019-04-28,22989-腾讯云培训认证leader（深圳）
产品/项目类,1,深圳,2019-04-28,21557-解决方案高级行业产品经理
技术类,1,上海,2019-04-28,25666-腾讯云华东区域解决方案支持
产品/项目类,1,深圳,2019-04-28,28600-微信支付服务产品经理（深圳）
技术类,3,深圳,2019-04-28,30359-容器云后台开发工程师（深圳）
设计类,1,上海,2019-04-28,32032-高级游戏美术特效（上海）
技术类,1,上海,2019-04-28,CSIG02-腾讯云行业方案架构师（上海）
设计类,1,深圳,2019-04-28,18302-国际IP新手游-高级3D场景模型师
技术类,1,深圳,2019-04-28,18302-国际IP新手游后台高级开发工程师（深圳）
技术类,1,深圳,2019-04-28,28994-区块链中台(高级)开发工程师
产品/项目类,1,深圳,2019-04-28,18302-国际IP新手游-高级战斗策划
设计类,1,深圳,2019-04-28,18302-国际IP新手游-资深角色原画设计师
设计类,1,深圳,2019-04-28,18302-国际IP新手游-UE4高级3D特效师
产品/项目类,1,北京,2019-04-28,26381-腾讯云高级项目经理（北京）
技术类,1,深圳,2019-04-28,18302-国际IP新手游-UE4引擎开发工程师
